,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,rsi
0,2022-04-08,70.62,71.7,70.62,71.14,71.14,9082865.0,9082865.0,0.52,0.736,71.15333,"April 08, 22",0.00736,62.38849302236891
1,2022-04-07,69.31,71.14,69.3,71.01,71.01,8310168.0,8310168.0,1.7,2.453,70.48333,"April 07, 22",0.02453,62.27156108692476
2,2022-04-06,68.0,69.275,67.79,69.07,69.07,5596805.0,5596805.0,1.07,1.574,68.71167,"April 06, 22",0.01574,60.47445062764703
3,2022-04-05,66.93,68.13,66.91,67.05,67.05,6953316.0,6953316.0,0.12,0.179,67.36333,"April 05, 22",0.00179,58.45516042809556
4,2022-04-04,66.45,66.91,66.38,66.67,66.67,3987163.0,3987163.0,0.22,0.331,66.65333,"April 04, 22",0.00331,58.06015235308688
5,2022-04-01,65.73,66.89,65.67,66.81,66.81,3829902.0,3829902.0,1.08,1.643,66.45667,"April 01, 22",0.01643,58.260152825669465
6,2022-03-31,67.28,67.55,66.27,66.34,66.34,6141589.0,6141589.0,-0.94,-1.397,66.72,"March 31, 22",-0.01397,57.78168844836421
7,2022-03-30,66.23,67.22,66.19,67.12,67.12,6804160.0,6804160.0,0.89,1.344,66.84333,"March 30, 22",0.01344,58.87939154249656
8,2022-03-29,66.05,66.6,65.49,65.95,65.95,4753843.0,4753843.0,-0.1,-0.151,66.01333,"March 29, 22",-0.00151,57.69805865789989
9,2022-03-28,65.13,65.585,64.715,65.38,65.38,6208853.0,6208853.0,0.25,0.384,65.22667,"March 28, 22",0.00384,57.10977586350898
10,2022-03-25,64.98,65.735,64.865,65.13,65.13,9365644.0,9365644.0,0.15,0.231,65.24333,"March 25, 22",0.00231,56.85185934223064
11,2022-03-24,64.3,66.06,64.035,66.02,66.02,15190933.0,15190933.0,1.72,2.675,65.37167,"March 24, 22",0.02675,58.07014700374867
12,2022-03-23,63.34,64.51,63.335,64.32,64.32,7525804.0,7525804.0,0.98,1.547,64.055,"March 23, 22",0.01547,56.3179069519572
13,2022-03-22,63.55,63.81,63.17,63.66,63.66,4209120.0,4209120.0,0.11,0.173,63.54667,"March 22, 22",0.00173,55.61214950789159
14,2022-03-21,63.21,64.115,63.21,63.48,63.48,3993614.0,3993614.0,0.27,0.427,63.60167,"March 21, 22",0.00427,55.419640863386284
15,2022-03-18,62.79,63.425,62.55,63.23,63.23,6660351.0,6660351.0,0.44,0.701,63.06833,"March 18, 22",0.00701,55.15491611666542
16,2022-03-17,62.11,63.91,62.06,63.67,63.67,8668716.0,8668716.0,1.56,2.512,63.21333,"March 17, 22",0.02512,55.725664882500894
17,2022-03-16,61.9,62.0,61.105,61.96,61.96,6955711.0,6955711.0,0.06,0.097,61.68833,"March 16, 22",0.00097,53.909123790079406
18,2022-03-15,60.86,61.59,60.53,61.37,61.37,5856773.0,5856773.0,0.51,0.838,61.16333,"March 15, 22",0.00838,53.26070239365504
19,2022-03-14,61.56,61.57,60.27,60.39,60.39,9339992.0,9339992.0,-1.17,-1.901,60.74333,"March 14, 22",-0.01901,52.16526932898957
20,2022-03-11,60.55,60.8954,60.24,60.3,60.3,6342337.0,6342337.0,-0.25,-0.413,60.47847,"March 11, 22",-0.00413,52.0641564333251
21,2022-03-10,59.96,61.005,59.83,60.9,60.9,6345487.0,6345487.0,0.94,1.568,60.57833,"March 10, 22",0.01568,52.79323836255837
22,2022-03-09,58.7,60.595,58.49,60.43,60.43,9133935.0,9133935.0,1.73,2.947,59.83833,"March 09, 22",0.02947,52.28024901138116
23,2022-03-08,56.91,58.47,56.36,57.69,57.69,9874517.0,9874517.0,0.78,1.371,57.50667,"March 08, 22",0.01371,49.12148370380913
24,2022-03-07,57.205,57.47,56.39,56.5,56.5,9681997.0,9681997.0,-0.705,-1.232,56.78667,"March 07, 22",-0.01232,47.64649942710511
25,2022-03-04,57.93,58.58,57.129,57.47,57.47,8533499.0,8533499.0,-0.46,-0.794,57.72633,"March 04, 22",-0.00794,48.77606264264893
26,2022-03-03,60.25,60.785,59.34,60.07,60.07,6421598.0,6421598.0,-0.18,-0.299,60.065,"March 03, 22",-0.00299,52.01526474043167
27,2022-03-02,61.91,62.485,61.49,62.0,62.0,6555057.0,6555057.0,0.09,0.145,61.99167,"March 02, 22",0.00145,54.65570817275015
28,2022-03-01,62.23,62.64,60.9,61.34,61.34,8220557.0,8220557.0,-0.89,-1.43,61.62667,"March 01, 22",-0.0143,53.87095474238211
29,2022-02-28,60.82,61.01,60.11,60.88,60.88,7359101.0,7359101.0,0.06,0.099,60.66667,"February 28, 22",0.00099,53.31914498828171
30,2022-02-25,59.31,60.655,59.22,60.58,60.58,6468546.0,6468546.0,1.27,2.141,60.15167,"February 25, 22",0.02141,52.95949806203468
31,2022-02-24,57.740002,58.240002,57.049999,58.130001,58.130001,9427000.0,9427000.0,0.39,0.675,57.80667,"February 24, 22",0.00675,49.86834643352694
32,2022-02-23,61.68,61.68,60.43,60.540001,59.555,8515000.0,8515000.0,-1.14,-1.848,60.88333,"February 23, 22",-0.01848,53.24100035951695
33,2022-02-22,61.799999,61.91,60.549999,60.810001,59.82061,9954400.0,9954400.0,-0.99,-1.602,61.09,"February 22, 22",-0.01602,53.63929334406899
34,2022-02-18,60.369999,60.630001,59.560001,59.860001,58.886066,34981200.0,34981200.0,-0.51,-0.845,60.01667,"February 18, 22",-0.00845,52.41173472311206
35,2022-02-17,61.02,61.259998,60.439999,60.990002,59.997681,7983100.0,7983100.0,-0.03,-0.049,60.89667,"February 17, 22",-0.00049,54.08097162589319
36,2022-02-16,60.470001,61.27,60.439999,60.84,59.850121,7561000.0,7561000.0,0.37,0.612,60.85333,"February 16, 22",0.00612,53.88992933011421
37,2022-02-15,59.59,60.450001,59.490002,60.299999,59.318905,8355900.0,8355900.0,0.71,1.191,60.08,"February 15, 22",0.01191,53.20305396508393
38,2022-02-14,57.299999,57.68,56.669998,57.540001,56.603813,6534700.0,6534700.0,0.24,0.419,57.29667,"February 14, 22",0.00419,49.4297899929805
39,2022-02-11,58.080002,58.560001,57.720001,58.040001,57.095676,9038200.0,9038200.0,-0.04,-0.069,58.10667,"February 11, 22",-0.00069,50.14764633893086
40,2022-02-10,58.16,60.169998,58.09,58.599998,57.646564,14540200.0,14540200.0,0.44,0.757,58.96007,"February 10, 22",0.00757,50.95995215351928
41,2022-02-09,56.990002,57.5,56.869999,57.200001,56.269344,5571100.0,5571100.0,0.21,0.368,57.19,"February 09, 22",0.00368,48.93332396903247
42,2022-02-08,56.549999,56.689999,56.119999,56.650002,55.728294,7632300.0,7632300.0,0.1,0.177,56.48333,"February 08, 22",0.00177,48.107690937998434
43,2022-02-07,56.189999,56.759998,56.02,56.68,55.757805,7816900.0,7816900.0,0.49,0.872,56.48667,"February 07, 22",0.00872,48.14930076694077
44,2022-02-04,56.299999,56.66,55.650002,55.720001,54.813423,10600200.0,10600200.0,-0.58,-1.03,56.01167,"February 04, 22",-0.0103,46.70358139579324
45,2022-02-03,57.580002,58.02,57.09,57.330002,56.397228,6987000.0,6987000.0,-0.25,-0.434,57.48,"February 03, 22",-0.00434,48.94660258390848
